method,ndcg@10,recall@10,mrr,map@10,query,n_relevant,ranked_count
baseline,0.9671,1.0000,1.0000,0.8951,minecraft,8,20
baseline,0.6952,1.0000,0.5000,0.5212,mmorpg,6,20
baseline,0.9911,1.0000,1.0000,0.9683,need for speed,7,20
baseline,0.8504,1.0000,1.0000,0.6656,pc gaming,6,20
baseline,0.6565,1.0000,0.3333,0.4862,playstation games,6,20
baseline,0.6309,1.0000,0.5000,0.5000,ps5 videogames,1,20
baseline,0.9504,1.0000,1.0000,0.8783,racing games,9,20
baseline,0.6663,1.0000,0.5000,0.4750,survival games,4,20
baseline,0.5642,1.0000,0.3333,0.3694,survival horror videogames,3,20
baseline,1.0000,1.0000,1.0000,1.0000,the last of us,2,20
ner_enhanced,0.9748,1.0000,1.0000,0.9160,minecraft,8,20
ner_enhanced,0.4855,0.5000,1.0000,0.2583,mmorpg,6,20
ner_enhanced,0.9731,1.0000,1.0000,0.9129,need for speed,7,20
ner_enhanced,0.9099,1.0000,1.0000,0.8179,pc gaming,6,20
ner_enhanced,0.3433,0.5000,0.3333,0.1587,playstation games,6,20
ner_enhanced,0.6309,1.0000,0.5000,0.5000,ps5 videogames,1,20
ner_enhanced,0.6701,0.5556,1.0000,0.5016,racing games,9,20
ner_enhanced,0.5414,0.5000,1.0000,0.3500,survival games,4,20
ner_enhanced,0.3236,0.6667,0.1667,0.1508,survival horror videogames,3,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,the last of us,2,20
reward_only,0.9249,1.0000,1.0000,0.8073,minecraft,8,10
reward_only,0.9045,1.0000,1.0000,0.8000,mmorpg,6,10
reward_only,0.6822,1.0000,0.3333,0.5423,need for speed,7,10
reward_only,0.9033,1.0000,1.0000,0.7462,pc gaming,6,10
reward_only,0.8966,1.0000,1.0000,0.7750,playstation games,6,10
reward_only,0.3562,1.0000,0.1667,0.1667,ps5 videogames,1,10
reward_only,0.9504,1.0000,1.0000,0.8783,racing games,9,10
reward_only,0.7226,1.0000,0.5000,0.5845,survival games,4,10
reward_only,0.5105,1.0000,0.2500,0.3056,survival horror videogames,3,10
reward_only,0.5110,1.0000,0.3333,0.3095,the last of us,2,10
rlhf,0.9327,1.0000,1.0000,0.8240,minecraft,8,10
rlhf,0.7128,1.0000,0.5000,0.5494,mmorpg,6,10
rlhf,0.8860,1.0000,1.0000,0.7440,need for speed,7,10
rlhf,1.0000,1.0000,1.0000,1.0000,pc gaming,6,10
rlhf,0.9329,1.0000,1.0000,0.8218,playstation games,6,10
rlhf,0.3333,1.0000,0.1429,0.1429,ps5 videogames,1,10
rlhf,0.9896,1.0000,1.0000,0.9627,racing games,9,10
rlhf,0.6260,1.0000,0.5000,0.4132,survival games,4,10
rlhf,0.9066,1.0000,1.0000,0.7778,survival horror videogames,3,10
rlhf,0.4556,1.0000,0.2000,0.2667,the last of us,2,10
full_hybrid,0.9249,1.0000,1.0000,0.8073,minecraft,8,10
full_hybrid,0.1920,0.3333,0.1429,0.0608,mmorpg,6,10
full_hybrid,0.6822,1.0000,0.3333,0.5423,need for speed,7,10
full_hybrid,0.7669,1.0000,0.5000,0.6458,pc gaming,6,10
full_hybrid,0.4979,0.5000,1.0000,0.2722,playstation games,6,10
full_hybrid,0.4307,1.0000,0.2500,0.2500,ps5 videogames,1,10
full_hybrid,0.6134,0.5556,1.0000,0.3968,racing games,9,10
full_hybrid,0.3633,0.5000,0.3333,0.2083,survival games,4,10
full_hybrid,0.3434,0.6667,0.2500,0.1574,survival horror videogames,3,10
full_hybrid,0.5110,1.0000,0.3333,0.3095,the last of us,2,10
