method,ndcg@10,recall@10,mrr,map@10,query,n_relevant,ranked_count
baseline,1.0000,1.0000,1.0000,1.0000,minecraft,4,20
baseline,1.0000,1.0000,1.0000,1.0000,mmorpg,1,20
baseline,1.0000,1.0000,1.0000,1.0000,need for speed,3,20
baseline,1.0000,0.9091,1.0000,1.0000,pc gaming,11,20
baseline,1.0000,0.3333,1.0000,1.0000,playstation games,30,20
baseline,1.0000,0.3333,1.0000,1.0000,ps5 videogames,30,20
baseline,1.0000,0.3333,1.0000,1.0000,racing games,30,20
baseline,1.0000,1.0000,1.0000,1.0000,survival games,4,20
baseline,1.0000,1.0000,1.0000,1.0000,survival horror videogames,8,20
baseline,1.0000,1.0000,1.0000,1.0000,the last of us,1,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,minecraft,4,20
ner_enhanced,0.4307,1.0000,0.2500,0.2500,mmorpg,1,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,need for speed,3,20
ner_enhanced,0.8701,0.7273,1.0000,0.8000,pc gaming,11,20
ner_enhanced,1.0000,0.3333,1.0000,1.0000,playstation games,30,20
ner_enhanced,1.0000,0.3333,1.0000,1.0000,ps5 videogames,30,20
ner_enhanced,1.0000,0.3333,1.0000,1.0000,racing games,30,20
ner_enhanced,0.9109,1.0000,1.0000,0.7750,survival games,4,20
ner_enhanced,0.6848,0.6250,1.0000,0.4976,survival horror videogames,8,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,the last of us,1,20
reward_only,0.8207,1.0000,1.0000,0.6250,minecraft,4,10
reward_only,0.2891,1.0000,0.1000,0.1000,mmorpg,1,10
reward_only,0.9066,1.0000,1.0000,0.7778,need for speed,3,10
reward_only,1.0000,0.9091,1.0000,1.0000,pc gaming,11,10
reward_only,1.0000,0.3333,1.0000,1.0000,playstation games,30,10
reward_only,1.0000,0.3333,1.0000,1.0000,ps5 videogames,30,10
reward_only,1.0000,0.3333,1.0000,1.0000,racing games,30,10
reward_only,0.6124,1.0000,0.5000,0.3902,survival games,4,10
reward_only,0.9099,1.0000,1.0000,0.8106,survival horror videogames,8,10
reward_only,0.3562,1.0000,0.1667,0.1667,the last of us,1,10
rlhf,1.0000,1.0000,1.0000,1.0000,minecraft,4,20
rlhf,1.0000,1.0000,1.0000,1.0000,mmorpg,1,20
rlhf,1.0000,1.0000,1.0000,1.0000,need for speed,3,20
rlhf,1.0000,0.9091,1.0000,1.0000,pc gaming,11,20
rlhf,1.0000,0.3333,1.0000,1.0000,playstation games,30,20
rlhf,1.0000,0.3333,1.0000,1.0000,ps5 videogames,30,20
rlhf,1.0000,0.3333,1.0000,1.0000,racing games,30,20
rlhf,1.0000,1.0000,1.0000,1.0000,survival games,4,20
rlhf,1.0000,1.0000,1.0000,1.0000,survival horror videogames,8,20
rlhf,1.0000,1.0000,1.0000,1.0000,the last of us,1,20
full_hybrid,0.8207,1.0000,1.0000,0.6250,minecraft,4,10
full_hybrid,0.3010,1.0000,0.1111,0.1111,mmorpg,1,10
full_hybrid,0.9134,1.0000,1.0000,0.7917,need for speed,3,10
full_hybrid,0.8365,0.7273,1.0000,0.7042,pc gaming,11,10
full_hybrid,1.0000,0.3333,1.0000,1.0000,playstation games,30,10
full_hybrid,1.0000,0.3333,1.0000,1.0000,ps5 videogames,30,10
full_hybrid,1.0000,0.3333,1.0000,1.0000,racing games,30,10
full_hybrid,0.5487,1.0000,0.3333,0.3292,survival games,4,10
full_hybrid,0.5833,0.6250,1.0000,0.3522,survival horror videogames,8,10
full_hybrid,0.3333,1.0000,0.1429,0.1429,the last of us,1,10
