method,ndcg@10,recall@10,mrr,map@10,query,n_relevant,ranked_count
baseline,0.8396,1.0000,1.0000,0.6556,fps videogames,3,20
baseline,0.8496,1.0000,1.0000,0.6726,god of war,5,20
baseline,0.9385,1.0000,1.0000,0.8389,mario games,8,20
baseline,0.9671,1.0000,1.0000,0.8951,minecraft,8,20
baseline,0.6480,1.0000,0.5000,0.4413,mmorpg,5,20
baseline,0.7179,1.0000,0.3333,0.6092,multiplayer games,7,20
baseline,0.9911,1.0000,1.0000,0.9683,need for speed,7,20
baseline,0.8504,1.0000,1.0000,0.6656,pc gaming,6,20
baseline,0.6228,1.0000,0.3333,0.4306,playstation games,5,20
baseline,1.0000,1.0000,1.0000,1.0000,pokemon,10,20
baseline,1.0000,1.0000,1.0000,1.0000,racing games,10,20
baseline,0.9709,1.0000,1.0000,0.9167,smash bros,4,20
baseline,0.7849,1.0000,0.5000,0.6917,survival games,6,20
baseline,0.5642,1.0000,0.3333,0.3694,survival horror videogames,3,20
baseline,1.0000,1.0000,1.0000,1.0000,the last of us,2,20
ner_enhanced,0.8396,1.0000,1.0000,0.6556,fps videogames,3,20
ner_enhanced,0.9512,1.0000,1.0000,0.8767,god of war,5,20
ner_enhanced,0.8359,0.7500,1.0000,0.7500,mario games,8,20
ner_enhanced,0.9671,1.0000,1.0000,0.8951,minecraft,8,20
ner_enhanced,0.6812,1.0000,0.5000,0.5054,mmorpg,5,20
ner_enhanced,0.6384,0.8571,0.3333,0.5092,multiplayer games,7,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,need for speed,7,20
ner_enhanced,0.8573,1.0000,1.0000,0.6815,pc gaming,6,20
ner_enhanced,0.5247,0.8000,0.3333,0.3306,playstation games,5,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,pokemon,10,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,racing games,10,20
ner_enhanced,0.9620,1.0000,1.0000,0.8929,smash bros,4,20
ner_enhanced,0.8976,1.0000,1.0000,0.7802,survival games,6,20
ner_enhanced,0.7670,1.0000,1.0000,0.5397,survival horror videogames,3,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,the last of us,2,20
reward_only,0.5401,1.0000,0.2500,0.3595,fps videogames,3,10
reward_only,0.6673,1.0000,0.5000,0.4768,god of war,5,10
reward_only,0.9716,1.0000,1.0000,0.9085,mario games,8,10
reward_only,0.9054,1.0000,1.0000,0.7972,minecraft,8,10
reward_only,0.8166,1.0000,1.0000,0.6089,mmorpg,5,10
reward_only,1.0000,1.0000,1.0000,1.0000,multiplayer games,7,10
reward_only,0.8712,1.0000,1.0000,0.7114,need for speed,7,10
reward_only,0.9784,1.0000,1.0000,0.9306,pc gaming,6,10
reward_only,0.9520,1.0000,1.0000,0.8600,playstation games,5,10
reward_only,1.0000,1.0000,1.0000,1.0000,pokemon,10,10
reward_only,1.0000,1.0000,1.0000,1.0000,racing games,10,10
reward_only,0.7612,1.0000,1.0000,0.5263,smash bros,4,10
reward_only,0.8491,1.0000,1.0000,0.6716,survival games,6,10
reward_only,0.9134,1.0000,1.0000,0.7917,survival horror videogames,3,10
reward_only,1.0000,1.0000,1.0000,1.0000,the last of us,2,10
rlhf,0.5116,1.0000,0.3333,0.2852,fps videogames,3,10
rlhf,0.9512,1.0000,1.0000,0.8767,god of war,5,10
rlhf,0.9918,1.0000,1.0000,0.9705,mario games,8,10
rlhf,0.9249,1.0000,1.0000,0.8073,minecraft,8,10
rlhf,0.8401,1.0000,1.0000,0.6422,mmorpg,5,10
rlhf,0.9619,1.0000,1.0000,0.8806,multiplayer games,7,10
rlhf,0.8553,1.0000,1.0000,0.7044,need for speed,7,10
rlhf,0.9784,1.0000,1.0000,0.9306,pc gaming,6,10
rlhf,0.7135,1.0000,0.5000,0.5444,playstation games,5,10
rlhf,1.0000,1.0000,1.0000,1.0000,pokemon,10,10
rlhf,1.0000,1.0000,1.0000,1.0000,racing games,10,10
rlhf,0.7980,1.0000,1.0000,0.5861,smash bros,4,10
rlhf,0.8541,1.0000,1.0000,0.7052,survival games,6,10
rlhf,0.5724,1.0000,0.3333,0.3778,survival horror videogames,3,10
rlhf,0.5714,1.0000,0.5000,0.3611,the last of us,2,10
full_hybrid,0.5401,1.0000,0.2500,0.3595,fps videogames,3,10
full_hybrid,0.6569,1.0000,0.5000,0.4635,god of war,5,10
full_hybrid,0.7031,0.7500,1.0000,0.4867,mario games,8,10
full_hybrid,0.9054,1.0000,1.0000,0.7972,minecraft,8,10
full_hybrid,0.8549,1.0000,1.0000,0.6722,mmorpg,5,10
full_hybrid,0.9084,0.8571,1.0000,0.8571,multiplayer games,7,10
full_hybrid,0.8712,1.0000,1.0000,0.7114,need for speed,7,10
full_hybrid,0.9784,1.0000,1.0000,0.9306,pc gaming,6,10
full_hybrid,0.7824,0.8000,1.0000,0.6000,playstation games,5,10
full_hybrid,1.0000,1.0000,1.0000,1.0000,pokemon,10,10
full_hybrid,1.0000,1.0000,1.0000,1.0000,racing games,10,10
full_hybrid,0.7612,1.0000,1.0000,0.5263,smash bros,4,10
full_hybrid,0.9236,1.0000,1.0000,0.7996,survival games,6,10
full_hybrid,0.9134,1.0000,1.0000,0.7917,survival horror videogames,3,10
full_hybrid,1.0000,1.0000,1.0000,1.0000,the last of us,2,10
