method,ndcg@10,recall@10,mrr,map@10,query,n_relevant,ranked_count
reward_only,1.0000,1.0000,1.0000,1.0000,soulslike videogames,1,10
reward_only,0.9888,1.0000,1.0000,0.9617,sport videogames,7,10
reward_only,0.9195,1.0000,1.0000,0.7843,strategy games,6,10
reward_only,0.7487,1.0000,0.5000,0.6458,survival games,4,10
reward_only,0.7633,1.0000,0.5000,0.6347,tactical videogames,6,10
reward_only,0.3333,1.0000,0.1429,0.1429,tower defense videogames,1,10
reward_only,1.0000,1.0000,1.0000,1.0000,xbox 360 videogames,3,10
reward_only,0.9166,1.0000,1.0000,0.8339,zelda videogames,8,10
rlhf,0.6688,1.0000,0.3333,0.5101,cod videogames,6,10
rlhf,0.3869,1.0000,0.2000,0.2000,elden ring,1,10
rlhf,0.9667,1.0000,1.0000,0.9060,fifa,9,10
rlhf,0.4649,1.0000,0.1667,0.2619,fps videogames,3,10
rlhf,0.5730,1.0000,0.5000,0.3407,indie videogames,3,10
rlhf,1.0000,1.0000,1.0000,1.0000,lego videogames,10,10
rlhf,0.8996,1.0000,1.0000,0.7823,minecraft,8,10
rlhf,0.5323,1.0000,0.3333,0.3175,monster hunter,3,10
rlhf,0.9257,1.0000,1.0000,0.8084,need for speed,7,10
rlhf,0.8934,1.0000,1.0000,0.7311,nintendo switch,5,10
rlhf,0.4844,1.0000,0.2000,0.2778,red dead redemption,3,10
rlhf,0.4486,1.0000,0.2500,0.2361,sandbox videogames,2,10
rlhf,0.2891,1.0000,0.1000,0.1000,soulslike videogames,1,10
rlhf,0.7303,1.0000,0.5000,0.5804,sport videogames,7,10
rlhf,0.9704,1.0000,1.0000,0.9056,strategy games,6,10
rlhf,0.5389,1.0000,0.2500,0.3388,survival games,4,10
rlhf,0.9784,1.0000,1.0000,0.9306,tactical videogames,6,10
rlhf,0.3869,1.0000,0.2000,0.2000,tower defense videogames,1,10
rlhf,0.4585,1.0000,0.2000,0.2407,xbox 360 videogames,3,10
rlhf,0.8202,1.0000,0.5000,0.7603,zelda videogames,8,10
full_hybrid,0.7290,1.0000,0.5000,0.5819,cod videogames,6,10
full_hybrid,0.5000,1.0000,0.3333,0.3333,elden ring,1,10
full_hybrid,0.8825,0.8889,1.0000,0.7783,fifa,9,10
full_hybrid,0.7670,1.0000,1.0000,0.5397,fps videogames,3,10
full_hybrid,0.6257,0.6667,1.0000,0.4286,indie videogames,3,10
full_hybrid,0.8900,0.9000,1.0000,0.7904,lego videogames,10,10
full_hybrid,0.9135,1.0000,1.0000,0.8228,minecraft,8,10
full_hybrid,0.8127,1.0000,1.0000,0.6111,monster hunter,3,10
full_hybrid,0.9103,1.0000,1.0000,0.7759,need for speed,7,10
full_hybrid,0.4828,0.8000,0.3333,0.2705,nintendo switch,5,10
full_hybrid,0.4716,1.0000,0.1667,0.2758,red dead redemption,3,10
full_hybrid,0.0000,0.0000,0.0000,0.0000,sandbox videogames,2,10
full_hybrid,1.0000,1.0000,1.0000,1.0000,soulslike videogames,1,10
full_hybrid,0.9848,1.0000,1.0000,0.9478,sport videogames,7,10
full_hybrid,0.5810,0.5000,1.0000,0.3833,strategy games,6,10
full_hybrid,0.5856,0.5000,1.0000,0.4167,survival games,4,10
full_hybrid,0.4513,0.6667,0.3333,0.2514,tactical videogames,6,10
full_hybrid,0.3869,1.0000,0.2000,0.2000,tower defense videogames,1,10
full_hybrid,0.7654,0.6667,1.0000,0.6667,xbox 360 videogames,3,10
full_hybrid,0.9166,1.0000,1.0000,0.8339,zelda videogames,8,10
