method,ndcg@10,recall@10,mrr,map@10,query,n_relevant,ranked_count
baseline,0.9076,1.0000,1.0000,0.7577,cod videogames,6,20
baseline,1.0000,1.0000,1.0000,1.0000,elden ring,1,20
baseline,0.9938,1.0000,1.0000,0.9765,fifa,9,20
baseline,0.8396,1.0000,1.0000,0.6556,fps videogames,3,20
baseline,0.5882,1.0000,0.5000,0.3619,indie videogames,3,20
baseline,1.0000,1.0000,1.0000,1.0000,lego videogames,10,20
baseline,0.9671,1.0000,1.0000,0.8951,minecraft,8,20
baseline,0.9066,1.0000,1.0000,0.7778,monster hunter,3,20
baseline,0.9911,1.0000,1.0000,0.9683,need for speed,7,20
baseline,0.8749,1.0000,1.0000,0.7226,nintendo switch,5,20
baseline,1.0000,1.0000,1.0000,1.0000,red dead redemption,3,20
baseline,0.3618,1.0000,0.1111,0.1556,sandbox videogames,2,20
baseline,0.3010,1.0000,0.1111,0.1111,soulslike videogames,1,20
baseline,0.8079,1.0000,0.5000,0.7407,sport videogames,7,20
baseline,0.7723,1.0000,0.5000,0.6607,strategy games,6,20
baseline,0.6663,1.0000,0.5000,0.4750,survival games,4,20
baseline,0.9635,1.0000,1.0000,0.8857,tactical videogames,6,20
baseline,0.6309,1.0000,0.5000,0.5000,tower defense videogames,1,20
baseline,0.6788,1.0000,0.5000,0.5139,xbox 360 videogames,3,20
baseline,0.9385,1.0000,1.0000,0.8389,zelda videogames,8,20
ner_enhanced,0.9608,1.0000,1.0000,0.8833,cod videogames,6,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,elden ring,1,20
ner_enhanced,0.9259,0.8889,1.0000,0.8765,fifa,9,20
ner_enhanced,0.8603,1.0000,1.0000,0.6984,fps videogames,3,20
ner_enhanced,0.4982,0.6667,0.5000,0.3333,indie videogames,3,20
ner_enhanced,0.9337,0.9000,1.0000,0.8900,lego videogames,10,20
ner_enhanced,0.9748,1.0000,1.0000,0.9160,minecraft,8,20
ner_enhanced,0.9066,1.0000,1.0000,0.7778,monster hunter,3,20
ner_enhanced,0.9731,1.0000,1.0000,0.9129,need for speed,7,20
ner_enhanced,0.8539,0.8000,1.0000,0.7600,nintendo switch,5,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,red dead redemption,3,20
ner_enhanced,0.0000,0.0000,0.0769,0.0000,sandbox videogames,2,20
ner_enhanced,0.2891,1.0000,0.1000,0.1000,soulslike videogames,1,20
ner_enhanced,0.9731,1.0000,1.0000,0.9129,sport videogames,7,20
ner_enhanced,0.4333,0.5000,0.5000,0.2500,strategy games,6,20
ner_enhanced,0.5414,0.5000,1.0000,0.3500,survival games,4,20
ner_enhanced,0.7409,0.6667,1.0000,0.5917,tactical videogames,6,20
ner_enhanced,0.6309,1.0000,0.5000,0.5000,tower defense videogames,1,20
ner_enhanced,0.4525,0.6667,0.5000,0.2619,xbox 360 videogames,3,20
ner_enhanced,0.9466,1.0000,1.0000,0.8644,zelda videogames,8,20
reward_only,0.7290,1.0000,0.5000,0.5819,cod videogames,6,10
reward_only,0.6309,1.0000,0.5000,0.5000,elden ring,1,10
reward_only,1.0000,1.0000,1.0000,1.0000,fifa,9,10
reward_only,0.6653,1.0000,0.5000,0.5000,fps videogames,3,10
reward_only,0.7845,1.0000,1.0000,0.5694,indie videogames,3,10
reward_only,1.0000,1.0000,1.0000,1.0000,lego videogames,10,10
reward_only,0.9135,1.0000,1.0000,0.8228,minecraft,8,10
reward_only,0.8520,1.0000,1.0000,0.6806,monster hunter,3,10
reward_only,0.8868,1.0000,1.0000,0.7233,need for speed,7,10
reward_only,0.5890,1.0000,0.2500,0.4135,nintendo switch,5,10
reward_only,0.4716,1.0000,0.1667,0.2758,red dead redemption,3,10
reward_only,0.5641,1.0000,0.5000,0.3500,sandbox videogames,2,10
