method,ndcg@10,recall@10,mrr,map@10,query,n_relevant,ranked_count
baseline,1.0000,1.0000,1.0000,1.0000,fps videogames,1,20
baseline,1.0000,1.0000,1.0000,1.0000,god of war,1,20
baseline,1.0000,0.3333,1.0000,1.0000,mario games,30,20
baseline,1.0000,1.0000,1.0000,1.0000,minecraft,4,20
baseline,1.0000,1.0000,1.0000,1.0000,mmorpg,1,20
baseline,1.0000,1.0000,1.0000,1.0000,multiplayer games,3,20
baseline,1.0000,1.0000,1.0000,1.0000,need for speed,3,20
baseline,1.0000,0.9091,1.0000,1.0000,pc gaming,11,20
baseline,1.0000,0.3333,1.0000,1.0000,playstation games,30,20
baseline,1.0000,1.0000,1.0000,1.0000,pokemon,6,20
baseline,1.0000,0.3333,1.0000,1.0000,ps5 videogames,30,20
baseline,1.0000,0.3333,1.0000,1.0000,racing games,30,20
baseline,1.0000,1.0000,1.0000,1.0000,smash bros,6,20
baseline,1.0000,1.0000,1.0000,1.0000,survival games,4,20
baseline,1.0000,1.0000,1.0000,1.0000,survival horror videogames,8,20
baseline,1.0000,1.0000,1.0000,1.0000,the last of us,1,20
ner_enhanced,0.5000,1.0000,0.3333,0.3333,fps videogames,1,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,god of war,1,20
ner_enhanced,1.0000,0.3333,1.0000,1.0000,mario games,30,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,minecraft,4,20
ner_enhanced,0.4307,1.0000,0.2500,0.2500,mmorpg,1,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,multiplayer games,3,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,need for speed,3,20
ner_enhanced,0.8701,0.7273,1.0000,0.8000,pc gaming,11,20
ner_enhanced,1.0000,0.3333,1.0000,1.0000,playstation games,30,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,pokemon,6,20
ner_enhanced,1.0000,0.3333,1.0000,1.0000,ps5 videogames,30,20
ner_enhanced,1.0000,0.3333,1.0000,1.0000,racing games,30,20
ner_enhanced,0.9877,1.0000,1.0000,0.9583,smash bros,6,20
ner_enhanced,0.9109,1.0000,1.0000,0.7750,survival games,4,20
ner_enhanced,0.6848,0.6250,1.0000,0.4976,survival horror videogames,8,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,the last of us,1,20
reward_only,0.3333,1.0000,0.1429,0.1429,fps videogames,1,10
reward_only,0.3333,1.0000,0.1429,0.1429,god of war,1,10
reward_only,1.0000,0.3333,1.0000,1.0000,mario games,30,10
reward_only,0.6948,1.0000,0.5000,0.5238,minecraft,4,10
reward_only,1.0000,1.0000,1.0000,1.0000,mmorpg,1,10
reward_only,0.4914,1.0000,0.2500,0.2778,multiplayer games,3,10
reward_only,0.4860,1.0000,0.2000,0.2869,need for speed,3,10
reward_only,1.0000,0.9091,1.0000,1.0000,pc gaming,11,10
reward_only,1.0000,0.3333,1.0000,1.0000,playstation games,30,10
reward_only,0.8288,1.0000,1.0000,0.6251,pokemon,6,10
reward_only,1.0000,0.3333,1.0000,1.0000,ps5 videogames,30,10
reward_only,1.0000,0.3333,1.0000,1.0000,racing games,30,10
reward_only,0.8450,1.0000,1.0000,0.6537,smash bros,6,10
reward_only,0.7328,1.0000,0.5000,0.6042,survival games,4,10
reward_only,0.9613,1.0000,1.0000,0.8803,survival horror videogames,8,10
reward_only,0.6309,1.0000,0.5000,0.5000,the last of us,1,10
rlhf,1.0000,1.0000,1.0000,1.0000,fps videogames,1,20
rlhf,1.0000,1.0000,1.0000,1.0000,god of war,1,20
rlhf,1.0000,0.3333,1.0000,1.0000,mario games,30,20
rlhf,1.0000,1.0000,1.0000,1.0000,minecraft,4,20
rlhf,1.0000,1.0000,1.0000,1.0000,mmorpg,1,20
rlhf,1.0000,1.0000,1.0000,1.0000,multiplayer games,3,20
rlhf,1.0000,1.0000,1.0000,1.0000,need for speed,3,20
rlhf,1.0000,0.9091,1.0000,1.0000,pc gaming,11,20
rlhf,1.0000,0.3333,1.0000,1.0000,playstation games,30,20
rlhf,1.0000,1.0000,1.0000,1.0000,pokemon,6,20
rlhf,1.0000,0.3333,1.0000,1.0000,ps5 videogames,30,20
rlhf,1.0000,0.3333,1.0000,1.0000,racing games,30,20
rlhf,1.0000,1.0000,1.0000,1.0000,smash bros,6,20
rlhf,1.0000,1.0000,1.0000,1.0000,survival games,4,20
rlhf,1.0000,1.0000,1.0000,1.0000,survival horror videogames,8,20
rlhf,1.0000,1.0000,1.0000,1.0000,the last of us,1,20
full_hybrid,0.3155,1.0000,0.1250,0.1250,fps videogames,1,10
full_hybrid,0.3562,1.0000,0.1667,0.1667,god of war,1,10
full_hybrid,1.0000,0.3333,1.0000,1.0000,mario games,30,10
full_hybrid,0.6948,1.0000,0.5000,0.5238,minecraft,4,10
full_hybrid,1.0000,1.0000,1.0000,1.0000,mmorpg,1,10
full_hybrid,0.4914,1.0000,0.2500,0.2778,multiplayer games,3,10
full_hybrid,0.4716,1.0000,0.1667,0.2758,need for speed,3,10
full_hybrid,0.8482,0.7273,1.0000,0.7328,pc gaming,11,10
full_hybrid,1.0000,0.3333,1.0000,1.0000,playstation games,30,10
full_hybrid,0.8288,1.0000,1.0000,0.6251,pokemon,6,10
full_hybrid,1.0000,0.3333,1.0000,1.0000,ps5 videogames,30,10
full_hybrid,1.0000,0.3333,1.0000,1.0000,racing games,30,10
full_hybrid,0.8357,1.0000,1.0000,0.6370,smash bros,6,10
full_hybrid,0.9550,1.0000,1.0000,0.8750,survival games,4,10
full_hybrid,0.6130,0.6250,1.0000,0.3800,survival horror videogames,8,10
full_hybrid,0.6309,1.0000,0.5000,0.5000,the last of us,1,10
