method,ndcg@10,recall@10,mrr,map@10,query,n_relevant,ranked_count
baseline,0.9671,1.0000,1.0000,0.8951,minecraft,8,20
baseline,0.6952,1.0000,0.5000,0.5212,mmorpg,6,20
baseline,0.9911,1.0000,1.0000,0.9683,need for speed,7,20
baseline,0.8504,1.0000,1.0000,0.6656,pc gaming,6,20
baseline,0.6565,1.0000,0.3333,0.4862,playstation games,6,20
baseline,0.6309,1.0000,0.5000,0.5000,ps5 videogames,1,20
baseline,0.9504,1.0000,1.0000,0.8783,racing games,9,20
baseline,0.6663,1.0000,0.5000,0.4750,survival games,4,20
baseline,0.5642,1.0000,0.3333,0.3694,survival horror videogames,3,20
baseline,1.0000,1.0000,1.0000,1.0000,the last of us,2,20
ner_enhanced,0.9748,1.0000,1.0000,0.9160,minecraft,8,20
ner_enhanced,0.4855,0.5000,1.0000,0.2583,mmorpg,6,20
ner_enhanced,0.9731,1.0000,1.0000,0.9129,need for speed,7,20
ner_enhanced,0.9099,1.0000,1.0000,0.8179,pc gaming,6,20
ner_enhanced,0.3433,0.5000,0.3333,0.1587,playstation games,6,20
ner_enhanced,0.6309,1.0000,0.5000,0.5000,ps5 videogames,1,20
ner_enhanced,0.6701,0.5556,1.0000,0.5016,racing games,9,20
ner_enhanced,0.5414,0.5000,1.0000,0.3500,survival games,4,20
ner_enhanced,0.3236,0.6667,0.1667,0.1508,survival horror videogames,3,20
ner_enhanced,1.0000,1.0000,1.0000,1.0000,the last of us,2,20
reward_only,1.0000,1.0000,1.0000,1.0000,minecraft,8,10
reward_only,0.8883,1.0000,1.0000,0.7579,mmorpg,6,10
reward_only,0.7139,1.0000,0.3333,0.5973,need for speed,7,10
reward_only,0.7467,1.0000,0.5000,0.6050,pc gaming,6,10
reward_only,0.9182,1.0000,1.0000,0.7847,playstation games,6,10
reward_only,0.6309,1.0000,0.5000,0.5000,ps5 videogames,1,10
reward_only,0.8329,1.0000,0.5000,0.7857,racing games,9,10
reward_only,0.8667,1.0000,1.0000,0.7095,survival games,4,10
reward_only,0.7989,1.0000,1.0000,0.5917,survival horror videogames,3,10
reward_only,0.8316,1.0000,1.0000,0.6667,the last of us,2,10
rlhf,0.9605,1.0000,1.0000,0.8835,minecraft,8,10
rlhf,0.8374,1.0000,1.0000,0.6605,mmorpg,6,10
rlhf,0.8860,1.0000,1.0000,0.7440,need for speed,7,10
rlhf,0.9784,1.0000,1.0000,0.9306,pc gaming,6,10
rlhf,0.7929,1.0000,0.5000,0.7167,playstation games,6,10
rlhf,0.3010,1.0000,0.1111,0.1111,ps5 videogames,1,10
rlhf,0.9896,1.0000,1.0000,0.9627,racing games,9,10
rlhf,0.5814,1.0000,0.2500,0.4125,survival games,4,10
rlhf,0.9066,1.0000,1.0000,0.7778,survival horror videogames,3,10
rlhf,0.4030,1.0000,0.1667,0.1944,the last of us,2,10
full_hybrid,1.0000,1.0000,1.0000,1.0000,minecraft,8,10
full_hybrid,0.2249,0.3333,0.2000,0.0889,mmorpg,6,10
full_hybrid,0.7139,1.0000,0.3333,0.5973,need for speed,7,10
full_hybrid,0.7767,1.0000,0.5000,0.6746,pc gaming,6,10
full_hybrid,0.3379,0.5000,0.3333,0.1528,playstation games,6,10
full_hybrid,0.6309,1.0000,0.5000,0.5000,ps5 videogames,1,10
full_hybrid,0.4420,0.5556,0.3333,0.2575,racing games,9,10
full_hybrid,0.6367,0.5000,1.0000,0.5000,survival games,4,10
full_hybrid,0.7039,0.6667,1.0000,0.5556,survival horror videogames,3,10
full_hybrid,0.8175,1.0000,1.0000,0.6429,the last of us,2,10
