method,query_idx,mrr,precision@5,recall@5,ndcg@5,found,success
baseline,0,0.0,0.0,0.0,0.0,0,True
baseline,1,0.25,0.4,1.0,0.5012658353418871,2,True
baseline,2,0.5,0.2,1.0,0.6309297535714575,1,True
ner_enhanced,0,0.0,0.0,0.0,0.0,0,True
ner_enhanced,1,0.2,0.2,0.5,0.23719771276929622,1,True
ner_enhanced,2,0.5,0.2,1.0,0.6309297535714575,1,True
rlhf,0,0.0,0.0,0.0,0.0,0,True
rlhf,1,0.25,0.4,1.0,0.5012658353418871,2,True
rlhf,2,0.5,0.2,1.0,0.6309297535714575,1,True
full_hybrid,0,0.0,0.0,0.0,0.0,0,True
full_hybrid,1,0.2,0.2,0.5,0.23719771276929622,1,True
full_hybrid,2,0.5,0.2,1.0,0.6309297535714575,1,True
