method,ndcg@10,recall@10,mrr,map@10,query,n_relevant,ranked_count
reward_only,0.4307,1.0000,0.2500,0.2500,soulslike videogames,1,10
reward_only,0.9951,1.0000,1.0000,0.9821,sport videogames,7,10
reward_only,0.9704,1.0000,1.0000,0.9056,strategy games,6,10
reward_only,0.7226,1.0000,0.5000,0.5845,survival games,4,10
reward_only,0.6952,1.0000,0.5000,0.5212,tactical videogames,6,10
reward_only,0.3155,1.0000,0.1250,0.1250,tower defense videogames,1,10
reward_only,0.6183,1.0000,0.3333,0.4778,xbox 360 videogames,3,10
reward_only,0.8202,1.0000,0.5000,0.7603,zelda videogames,8,10
rlhf,0.6732,1.0000,0.3333,0.5216,cod videogames,6,10
rlhf,0.6309,1.0000,0.5000,0.5000,elden ring,1,10
rlhf,0.9667,1.0000,1.0000,0.9060,fifa,9,10
rlhf,0.5066,1.0000,0.2500,0.3036,fps videogames,3,10
rlhf,0.5730,1.0000,0.5000,0.3407,indie videogames,3,10
rlhf,1.0000,1.0000,1.0000,1.0000,lego videogames,10,10
rlhf,0.9327,1.0000,1.0000,0.8240,minecraft,8,10
rlhf,0.5239,1.0000,0.3333,0.3056,monster hunter,3,10
rlhf,0.8860,1.0000,1.0000,0.7440,need for speed,7,10
rlhf,0.8940,1.0000,1.0000,0.7393,nintendo switch,5,10
rlhf,0.4716,1.0000,0.1667,0.2758,red dead redemption,3,10
rlhf,0.4685,1.0000,0.2500,0.2679,sandbox videogames,2,10
rlhf,0.3333,1.0000,0.1429,0.1429,soulslike videogames,1,10
rlhf,0.6943,1.0000,0.3333,0.5566,sport videogames,7,10
rlhf,0.9635,1.0000,1.0000,0.8857,strategy games,6,10
rlhf,0.6260,1.0000,0.5000,0.4132,survival games,4,10
rlhf,1.0000,1.0000,1.0000,1.0000,tactical videogames,6,10
rlhf,0.6309,1.0000,0.5000,0.5000,tower defense videogames,1,10
rlhf,0.4585,1.0000,0.2000,0.2407,xbox 360 videogames,3,10
rlhf,0.8202,1.0000,0.5000,0.7603,zelda videogames,8,10
full_hybrid,0.9372,1.0000,1.0000,0.8357,cod videogames,6,10
full_hybrid,0.3562,1.0000,0.1667,0.1667,elden ring,1,10
full_hybrid,0.8988,0.8889,1.0000,0.8060,fifa,9,10
full_hybrid,0.6788,1.0000,0.5000,0.5139,fps videogames,3,10
full_hybrid,0.6714,0.6667,1.0000,0.5000,indie videogames,3,10
full_hybrid,0.9337,0.9000,1.0000,0.8900,lego videogames,10,10
full_hybrid,0.9249,1.0000,1.0000,0.8073,minecraft,8,10
full_hybrid,0.6653,1.0000,0.5000,0.5000,monster hunter,3,10
full_hybrid,0.6822,1.0000,0.3333,0.5423,need for speed,7,10
full_hybrid,0.5502,0.8000,0.5000,0.3350,nintendo switch,5,10
full_hybrid,0.7530,1.0000,1.0000,0.5167,red dead redemption,3,10
full_hybrid,0.0000,0.0000,0.0000,0.0000,sandbox videogames,2,10
full_hybrid,0.4307,1.0000,0.2500,0.2500,soulslike videogames,1,10
full_hybrid,0.9951,1.0000,1.0000,0.9821,sport videogames,7,10
full_hybrid,0.4297,0.5000,0.5000,0.2444,strategy games,6,10
full_hybrid,0.3633,0.5000,0.3333,0.2083,survival games,4,10
full_hybrid,0.4377,0.6667,0.3333,0.2333,tactical videogames,6,10
full_hybrid,0.3333,1.0000,0.1429,0.1429,tower defense videogames,1,10
full_hybrid,0.3836,0.6667,0.2500,0.2167,xbox 360 videogames,3,10
full_hybrid,0.8202,1.0000,0.5000,0.7603,zelda videogames,8,10
